pc_time_s,t_ms,Bx_raw,By_raw,Bz_raw,T_raw,Bx_mT,By_mT,Bz_mT,Bmag_mT,run_id,step_index,m1_deg,m2_deg,m3_deg,m4_deg
1777615204,130402,31696,37172,65532,17544,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,130416,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130432,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,130446,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,130460,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130475,31700,37176,65532,17544,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,130489,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,130503,31692,37180,65532,17544,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,130518,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130532,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,130546,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,130561,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,130575,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,130589,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,130604,31704,37184,65532,17544,-9.7412,40.4297,299.9634,302.8324,20260501_160003,0,0,0,0,0
1777615204,130618,31700,37172,65532,17552,-9.7778,40.3198,299.9634,302.819,20260501_160003,0,0,0,0,0
1777615204,130632,31692,37172,65532,17544,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,130647,31696,37176,65532,17544,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130661,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,130675,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,130690,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,130704,31692,37184,65532,17552,-9.8511,40.4297,299.9634,302.836,20260501_160003,0,0,0,0,0
1777615204,130719,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,130734,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,130748,31688,37172,65532,17552,-9.8877,40.3198,299.9634,302.8226,20260501_160003,0,0,0,0,0
1777615204,130762,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,130777,31688,37176,65532,17544,-9.8877,40.3564,299.9634,302.8274,20260501_160003,0,0,0,0,0
1777615204,130791,31696,37184,65532,17552,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
1777615204,130805,31696,37184,65532,17544,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
